Age,Experience_Years,Salary,City,Education_Level,Performance_Score,Working_Hours_Per_Week,Random_Noise_Text
32.0,38.0,94536.0,Mumbai,Bachelors,1.8526507463468427,31.0,
46.0,31.0,122599.0,Delhi,Diploma,1.8545898814894137,21.0,
26.0,,591465.0,Mumbai,,5.842961917066969,60.0,
,,172552.0,Bhubaneswar,masters ,4.847780068245886,64.0,
57.0,12.0,124079.0,Bhubaneswar,Bachelors,8.59559826742407,36.0,
32.0,29.0,,Mumbai,Masters,1.0230650695291836,42.0,HOIxliCh
31.0,34.0,142908.0,Delhi,PhD,2.5720025188247284,38.0,HruGvtQx
58.0,17.0,80722.0,Bhubaneswar,,5.472842819871711,,
30.0,35.0,105551.0,Bhubaneswar,Diploma,9.482398711442693,26.0,GMYPFmoY
,24.0,67083.0,Delhi,Masters,6.229123114562052,25.0,
49.0,33.0,28484.0,Mumbai,PhD,9.348181207199204,55.0,
37.0,1.0,132498.0,Mumbai,PhD,1.4925843853774088,25.0,
37.0,2.0,,Delhi,PhD,,56.0,
64.0,8.0,60909.0,Delhi,Bachelors,3.763273269059688,56.0,
25.0,26.0,68461.0,,Masters,4.370675226490654,68.0,MlSVjuro
19.0,,177386.0,Chennai,Masters,2.5744878713218675,60.0,
60.0,15.0,86776.0,Chennai,Masters,5.002306654223623,61.0,
62.0,21.0,190010.0,Mumbai,Bachelors,5.767041028928971,63.0,zpLHYhSg
31.0,26.0,88475.0,,PhD,1.1435027890364737,62.0,HPNLZmsM
64.0,7.0,74470.0,Chennai,PhD,2.239950547424953,20.0,godLuYpg
48.0,19.0,56706.0,Chennai,PhD,3.498984255629637,42.0,
29.0,32.0,68329.0,Kolkata,PhD,5.052108586503289,57.0,NDJrgKBu
46.0,33.0,125071.0,Bhubaneswar,Masters,5.810290354105202,62.0,FyxjPRUf
52.0,21.0,131316.0,Delhi,,5.186312699039862,49.0,piRUrnDx
51.0,21.0,140885.0,Bhubaneswar,Masters,8.358909603112116,68.0,
44.0,0.0,150311.0,Kolkata,Bachelors,3.573281514758715,,
21.0,23.0,198257.0,Kolkata,Masters,9.303212773849728,32.0,
25.0,21.0,102102.0,Mumbai,Bachelors,2.0454113043532587,,
61.0,34.0,139173.0,Bhubaneswar,Bachelors,2.0149281439051903,31.0,
18.0,2.0,198382.0,Mumbai,Diploma,2.59002648992517,,
56.0,0.0,90509.0,Delhi,PhD,3.609842459885219,45.0,
57.0,5.0,115364.0,Kolkata,masters ,9.805667751640515,43.0,
27.0,38.0,128574.0,Chennai,Diploma,8.449296688872304,68.0,
30.0,16.0,65832.0,Bhubaneswar,Bachelors,6.964417762761556,45.0,
26.0,13.0,162855.0,Delhi,Masters,9.48686697277552,65.0,
48.0,10.0,136665.0,Delhi,Masters,6.146584573071449,54.0,
31.0,29.0,140542.0,Bhubaneswar,Masters,1.3072700510241215,25.0,ClOPrwgX
53.0,9.0,63532.0,Kolkata,Masters,1.9139237770615256,57.0,FLokNRfR
48.0,34.0,130382.0,Bhubaneswar,PhD,4.991920721694917,52.0,
47.0,32.0,76318.0,,Bachelors,7.197511442363815,36.0,WjAHQeCb
40.0,13.0,189332.0,Chennai,Diploma,2.2339220261856303,67.0,
55.0,16.0,91160.0,Delhi,Masters,9.07843035201994,63.0,
34.0,4.0,126313.0,,PhD,,45.0,
,29.0,142911.0,  mumbai  ,Bachelors,7.1246612795280795,44.0,tkJsleic
25.0,13.0,137993.0,Bhubaneswar,Masters,9.767164307110896,36.0,fHPREKwg
30.0,26.0,27407.0,Delhi,Masters,8.392327328859674,47.0,QivuFebS
28.0,2.0,176171.0,Mumbai,,4.198652094751207,22.0,MWkoRfKq
hlCqe,38.0,113590.0,Bhubaneswar,Bachelors,8.699213171327747,36.0,
18.0,9.0,97338.0,,Bachelors,7.358693172393619,55.0,NlquPmmU
44.0,35.0,156742.0,Chennai,PhD,7.174489478171258,50.0,
21.0,2.0,121879.0,Chennai,PhD,4.2886374634647915,67.0,
61.0,29.0,188138.0,Mumbai,PhD,4.353442938835987,56.0,
63.0,29.0,88083.0,Delhi,Masters,1.2788167912125183,48.0,eUcllJZa
68.0,39.0,128756.0,Mumbai,Bachelors,4.755216437728766,63.0,eUbqDVov
48.0,33.0,157248.0,Mumbai,PhD,4.925539028391666,68.0,
69.0,23.0,37851.0,Chennai,Masters,7.285214606148734,58.0,
39.0,31.0,160238.0,Bhubaneswar,Masters,2.765502090389486,37.0,
59.0,18.0,173666.0,Chennai,Masters,1.1477055319369058,59.0,
50.0,16.0,163290.0,,PhD,2.7008641603494836,51.0,
60.0,1.0,139272.0,Kolkata,Masters,unknown,37.0,yUWvEAVD
55.0,37.0,126889.0,Bhubaneswar,masters ,9.277525236658517,42.0,
18.0,21.0,51764.0,Mumbai,Masters,4.862800112403023,51.0,siKrzEAC
36.0,15.0,119108.0,Mumbai,PhD,5.44732540733913,43.0,
28.0,13.0,,Chennai,PhD,9.93963721477877,,
39.0,35.0,192832.0,Kolkata,Bachelors,unknown,46.0,
,16.0,198939.0,  mumbai  ,Bachelors,2.631228263013789,,
28.0,35.0,137314.0,Delhi,Masters,1.8072090654588688,45.0,
18.0,8.0,149006.0,Mumbai,Diploma,1.7712262953152207,24.0,
59.0,,90379.0,Mumbai,Diploma,9.429280270887041,39.0,
29.0,19.0,163531.0,Bhubaneswar,PhD,9.095409415888499,44.0,
30.0,4.0,30111.0,Bhubaneswar,Masters,7.853952961700259,48.0,
38.0,25.0,33277.0,Bhubaneswar,Diploma,1.892813843703816,39.0,
53.0,28.0,173136.0,Delhi,Masters,,,
23.0,26.0,82809.0,Delhi,Diploma,5.566512530724631,41.0,
60.0,8.0,88633.0,Chennai,Bachelors,1.2867198553756265,32.0,
35.0,33.0,119156.0,Delhi,Diploma,5.653138871055836,,
36.0,9.0,43982.0,Chennai,Masters,,,JxDzsMhZ
35.0,1.0,89498.0,Mumbai,Bachelors,4.321865778152319,25.0,
hlCqe,15.0,198050.0,Bhubaneswar,PhD,1.3221800647360549,39.0,
59.0,37.0,40966.0,,Diploma,8.867221442389308,38.0,
32.0,18.0,114845.0,Bhubaneswar,Masters,3.1962393505045323,44.0,nBoeeEVd
51.0,19.0,130716.0,,PhD,3.684893532083525,41.0,
18.0,12.0,175296.0,Bhubaneswar,PhD,,28.0,
27.0,21.0,167784.0,Chennai,Masters,9.259959259072437,,
60.0,11.0,144908.0,Mumbai,Bachelors,5.427391934818508,42.0,
21.0,10.0,131110.0,Kolkata,Diploma,4.510445377620894,30.0,
52.0,3.0,175548.0,Bhubaneswar,PhD,1.7931837214837065,25.0,
66.0,21.0,506040.0,Kolkata,Diploma,3.128078162666445,25.0,
51.0,25.0,29903.0,Delhi,Masters,6.425354722088538,29.0,
39.0,26.0,67791.0,Mumbai,Diploma,8.57806766012419,39.0,
29.0,14.0,193413.0,Delhi,,4.794738058477129,46.0,
65.0,10.0,164921.0,,Masters,5.647714723062403,31.0,
21.0,35.0,133020.0,Chennai,Masters,5.082024805944855,24.0,vqrkFOKx
59.0,9.0,168279.0,Bhubaneswar,Bachelors,,34.0,
,21.0,164458.0,Chennai,Masters,9.553384180851227,53.0,
64.0,18.0,,Kolkata,PhD,3.9783026301332445,63.0,
47.0,32.0,131546.0,Kolkata,Bachelors,5.425197059487978,30.0,
62.0,2.0,142365.0,Kolkata,Bachelors,6.161028976742269,39.0,uuHqVfpJ
42.0,32.0,24418.0,Delhi,masters ,2.1324271627379603,50.0,WgPlywQL
43.0,25.0,,Chennai,Diploma,8.416281583739877,52.0,
hlCqe,1.0,134953.0,Bhubaneswar,PhD,3.423252289449538,34.0,wYgXBnIV
46.0,33.0,121395.0,,Masters,4.476519719681112,68.0,
24.0,28.0,196201.0,,Bachelors,5.2375954134406335,28.0,HvFVffPh
28.0,25.0,34040.0,Chennai,Bachelors,,68.0,
,0.0,170862.0,Delhi,Diploma,1.8177069680717748,63.0,RVOjQRhk
22.0,15.0,26068.0,Chennai,Bachelors,3.517246475382779,66.0,
65.0,21.0,40342.0,  mumbai  ,PhD,2.9337253225606545,34.0,
58.0,27.0,165625.0,,masters ,2.998228355322774,65.0,
52.0,12.0,197185.0,Chennai,Diploma,1.9640360603959797,28.0,
64.0,12.0,31963.0,Mumbai,PhD,2.8179411808849872,36.0,
34.0,39.0,117910.0,Chennai,masters ,3.157502514375925,68.0,
37.0,7.0,60986.0,Mumbai,Bachelors,5.413850792371797,22.0,
hlCqe,3.0,172603.0,Mumbai,Diploma,7.472480098717161,67.0,NRpXKDgH
33.0,23.0,82068.0,Kolkata,Bachelors,3.014052795100249,67.0,
37.0,39.0,180100.0,Mumbai,Diploma,2.6922540808844944,59.0,
53.0,9.0,150981.0,Chennai,Masters,4.729827720848801,67.0,
55.0,27.0,168977.0,,Bachelors,9.663405232427818,44.0,Duedcwgb
64.0,0.0,132131.0,Chennai,Masters,7.809739879730118,44.0,blwPJRup
28.0,14.0,153592.0,Mumbai,Diploma,1.5924985905480367,,RbKRJBjJ
59.0,0.0,181262.0,Delhi,Bachelors,9.009200146108476,27.0,BsMweUmN
41.0,8.0,157045.0,Bhubaneswar,PhD,4.555991419370656,67.0,
67.0,39.0,165279.0,Kolkata,Diploma,5.80137905383066,38.0,
38.0,26.0,,Bhubaneswar,Diploma,1.3606267942079047,,
37.0,26.0,38628.0,Mumbai,Diploma,5.174403874861278,35.0,BuGWYBOt
36.0,31.0,153791.0,Kolkata,Diploma,,55.0,
25.0,11.0,51514.0,Bhubaneswar,Diploma,7.701900632304216,67.0,utnsnBeu
45.0,26.0,54713.0,Bhubaneswar,Bachelors,8.207762217019763,66.0,prZARqgF
59.0,9.0,189790.0,Bhubaneswar,masters ,8.861732756864356,55.0,
55.0,20.0,30589.0,,Bachelors,7.971817459601817,54.0,
46.0,5.0,113104.0,Mumbai,Bachelors,6.778796870270963,27.0,KgsEHquy
27.0,3.0,39305.0,Mumbai,PhD,5.5898791153305325,46.0,
46.0,32.0,104303.0,Chennai,masters ,6.824660921095986,62.0,eiCYDlFn
18.0,13.0,86923.0,Kolkata,Diploma,6.723622405686529,,
25.0,34.0,106742.0,Delhi,Masters,6.4182025835532395,36.0,
31.0,39.0,158043.0,Mumbai,Bachelors,2.5956708050012405,59.0,IUtJKDcA
68.0,30.0,170410.0,Kolkata,,2.8639932707141824,,
60.0,2.0,145711.0,Bhubaneswar,Masters,7.247787021362019,39.0,
69.0,18.0,149279.0,Chennai,PhD,5.175777278798414,24.0,
66.0,27.0,194683.0,,Bachelors,8.047049211155775,34.0,
43.0,1.0,151213.0,Delhi,PhD,3.275672122176326,58.0,
30.0,26.0,44051.0,  mumbai  ,,3.5528248004878926,23.0,
35.0,10.0,114096.0,Delhi,Bachelors,7.777109764278768,35.0,
44.0,14.0,38540.0,,Bachelors,3.3116082131209854,46.0,
30.0,24.0,47005.0,Chennai,Diploma,8.745166275781635,,
51.0,10.0,35568.0,Mumbai,,8.824091183671747,56.0,TwqsrJHL
59.0,12.0,51593.0,Mumbai,Masters,unknown,41.0,
40.0,24.0,80306.0,Bhubaneswar,Masters,6.378281004423286,47.0,
34.0,16.0,196558.0,Mumbai,Bachelors,6.079020353054794,34.0,
63.0,31.0,163667.0,Mumbai,PhD,9.465251073773231,67.0,
40.0,,37442.0,Bhubaneswar,Bachelors,2.908502093601724,34.0,
59.0,15.0,173736.0,,Masters,2.424457297343169,34.0,
50.0,8.0,116966.0,Chennai,PhD,6.9154947914736224,22.0,
40.0,35.0,184290.0,Kolkata,PhD,unknown,49.0,
43.0,23.0,,,Diploma,2.040348458655261,59.0,NWVvutBR
48.0,1.0,,Bhubaneswar,Bachelors,5.792551607671324,51.0,
20.0,21.0,182584.0,Kolkata,Diploma,1.4088151745223598,63.0,
46.0,13.0,75509.0,,,9.847225437181002,65.0,gQaIJubM
41.0,30.0,114058.0,Delhi,PhD,2.734613626574082,22.0,
63.0,27.0,199660.0,Delhi,Bachelors,8.870873112565814,69.0,
33.0,4.0,22256.0,Delhi,Masters,1.3958384908013182,46.0,QURPuapP
40.0,2.0,173594.0,Bhubaneswar,Masters,1.4969791099781173,57.0,
50.0,31.0,65110.0,Chennai,PhD,8.563925024162504,48.0,
66.0,8.0,86300.0,Chennai,Diploma,,56.0,
22.0,15.0,58235.0,Bhubaneswar,Masters,9.473244735578193,36.0,
33.0,14.0,22978.0,Mumbai,PhD,6.362226420417027,24.0,RCppXnfY
19.0,37.0,28892.0,  mumbai  ,Diploma,4.135095223484472,56.0,XkwfrFqO
32.0,6.0,189083.0,Mumbai,Bachelors,6.019193848716245,65.0,
46.0,35.0,102561.0,Bhubaneswar,Masters,1.8177895836244697,,
64.0,19.0,,Chennai,Bachelors,6.405783677910877,58.0,
27.0,3.0,186169.0,Delhi,PhD,5.75756244720053,,
31.0,7.0,57236.0,Bhubaneswar,Bachelors,1.0180960010531162,40.0,
24.0,26.0,135256.0,Bhubaneswar,PhD,6.642713451351159,22.0,
28.0,26.0,199922.0,Chennai,Masters,3.606972832232549,20.0,BmmzLfiu
,1.0,123024.0,Delhi,,6.332162735658946,21.0,qjLVlJUz
39.0,3.0,68203.0,Bhubaneswar,Masters,7.046644900228262,41.0,
34.0,24.0,184592.0,Chennai,Bachelors,8.972301021473555,32.0,
58.0,6.0,37467.0,Mumbai,Bachelors,7.322572600779882,69.0,
63.0,10.0,28560.0,Mumbai,Bachelors,8.558513967161513,48.0,
50.0,3.0,127654.0,Kolkata,Masters,3.967065659209516,57.0,
,3.0,171765.0,Mumbai,Diploma,7.028527257172861,33.0,sIZGgkGX
58.0,35.0,112334.0,Bhubaneswar,Diploma,9.30658551281112,35.0,FavARYYW
63.0,20.0,176308.0,Mumbai,Diploma,2.0372605975005316,53.0,
,6.0,75443.0,Delhi,Bachelors,8.343162593374647,34.0,
,12.0,101709.0,Chennai,Masters,6.377301398493455,29.0,
25.0,35.0,78219.0,Mumbai,Masters,7.975960880510711,67.0,
20.0,4.0,153919.0,Delhi,Bachelors,9.720934905923844,63.0,BysdysAi
30.0,14.0,120458.0,Delhi,Diploma,7.226614850951266,27.0,
57.0,14.0,197792.0,Mumbai,Masters,1.162318535560162,42.0,
47.0,23.0,27736.0,Mumbai,Masters,6.213307581258102,54.0,
52.0,1.0,108469.0,Chennai,Bachelors,2.561423115372383,28.0,AuqthHxj
68.0,32.0,35289.0,Chennai,Masters,7.927332682614273,41.0,
66.0,20.0,154734.0,Kolkata,PhD,9.57486437707901,48.0,
60.0,33.0,,Chennai,,4.7210252876536085,43.0,
19.0,29.0,65507.0,Delhi,Diploma,3.178794365794536,27.0,lEcJJASk
20.0,28.0,172931.0,Bhubaneswar,Diploma,9.54543039562824,25.0,
56.0,29.0,154979.0,Chennai,PhD,7.458433978777327,49.0,
63.0,8.0,64489.0,Chennai,PhD,9.22323098260003,41.0,
60.0,12.0,133951.0,Kolkata,PhD,9.817017467641202,37.0,
39.0,30.0,186385.0,Delhi,Diploma,7.957788351307495,50.0,LHZOycpd
59.0,14.0,146142.0,Bhubaneswar,PhD,,22.0,
32.0,8.0,176673.0,Chennai,Bachelors,7.875078944087317,68.0,
40.0,22.0,135468.0,Delhi,Bachelors,8.644983931457809,62.0,
40.0,24.0,35103.0,Mumbai,Bachelors,unknown,31.0,
54.0,6.0,125695.0,Kolkata,PhD,9.995506067887167,48.0,
35.0,14.0,65081.0,Kolkata,Diploma,2.817368927764363,33.0,PSjqkZif
44.0,5.0,149210.0,Delhi,Bachelors,3.4241043969296436,36.0,
30.0,14.0,21475.0,Mumbai,Diploma,,21.0,yCuDicAS
21.0,3.0,63327.0,Chennai,Masters,2.3989374296808643,22.0,
,39.0,27913.0,Mumbai,Diploma,1.3075516070116393,42.0,
66.0,20.0,174342.0,Chennai,Masters,7.716741378882893,37.0,
45.0,39.0,103889.0,Delhi,PhD,1.08666372825873,53.0,
69.0,35.0,101085.0,Bhubaneswar,Bachelors,6.471405460919983,45.0,yCNPbABm
68.0,5.0,168133.0,Kolkata,Masters,9.723120764397253,43.0,hTNHndUg
26.0,26.0,22639.0,Mumbai,Bachelors,3.9453463788952687,34.0,
50.0,7.0,199194.0,Kolkata,Diploma,7.255255450231506,44.0,fElALiEW
,38.0,142211.0,Kolkata,Diploma,3.027121968830898,38.0,
18.0,6.0,155233.0,Kolkata,PhD,5.790773564055501,49.0,
23.0,0.0,147974.0,Mumbai,Bachelors,1.7466368952870326,23.0,
35.0,21.0,528360.0,Delhi,PhD,9.390784344018265,66.0,
33.0,28.0,82372.0,Bhubaneswar,PhD,4.453739057755939,48.0,
35.0,14.0,25282.0,Chennai,,9.860718946104154,45.0,
27.0,34.0,160859.0,Bhubaneswar,Masters,6.40105928506197,42.0,
,25.0,177614.0,Bhubaneswar,Bachelors,7.862697882468631,61.0,
51.0,10.0,33095.0,Chennai,Bachelors,2.8335284586974967,48.0,
39.0,36.0,63779.0,Delhi,masters ,6.266779563363158,36.0,
32.0,33.0,92150.0,Delhi,Masters,7.972667979050464,31.0,kvPGWmOf
40.0,8.0,123500.0,,Diploma,1.416905425106033,65.0,
29.0,35.0,74756.0,Delhi,Diploma,4.005874658059194,33.0,
69.0,24.0,126550.0,Kolkata,PhD,8.960076797985678,63.0,RkPcgzbD
25.0,39.0,42474.0,Kolkata,Masters,7.4706280262835705,37.0,eOyMjpQB
59.0,31.0,102909.0,Chennai,Bachelors,3.266176270104168,37.0,VjhvuWqK
47.0,12.0,110123.0,Delhi,Bachelors,7.074783260121465,,
33.0,2.0,28209.0,Delhi,Bachelors,6.062422448057809,59.0,muyzWhje
34.0,39.0,183923.0,Chennai,Masters,2.5399598617973753,30.0,
